,Command,DistToRfvThreshold,Text
32,account/解除自我限制,1.327298103550904,可以 自己 把 自己 账户 解开 吗 
33,bet/sportsbook/体育页面调整,1.2857738473298648,如何 寻找 我 要 的 赛事 
34,payment/ deposit limit/乐天堂网站存款金额限制,1.2201742236094666,微信 里 只有 100 块钱 能 不能 存 
35,common/疑惑,0.5,
36,portal/ ios/清除谷歌浏览器缓存- 苹果/平板设备,0.5,
37,bet/注单可以撤销吗？,1.2073901882680569,滚球 投注 了 还 能 兑换 回来 的 ？ 我 点 错 了 怎么办 
38,account/设置自我限制,1.3310515174018451,可以 锁上 账户 吗 
39,common/提交不了,1.0316279231771126,点击 了 根本 没有 办法 提交 
40,account/已经验证了， 但是还提示验证？,0.7756410493934516,在 个人 资料 已经 显示 验证 了 ， 还是 要 我 验证 ， 提 不了 
41,portal/ android/ live casino/乐天堂真人APP安卓下载版,0.8461599115531618,下载 真人 安 卓 版 
42,payment/deposit/jingdong/京东钱包存款,1.020454959134436,第一次 用 ， 不 懂 结果 一直 不成 功 ， 可以 教 我 怎么 使用 这个 京东 存款 吗 
43,portal/乐天堂电脑版网址,1.328657099272859,主页 是 什么 了 啊 ？ 
44,payment/deposit/online/无法进行在线存款,1.3316303808650143,现在 在线 从不 了 钱 吗 ？ 
45,smalltalk/天气如何？,1.2465681632341303,明天 北京 下雨 吗 ? 
46,portal/app/乐天堂手机版APP下载步骤,1.3263493106548037,精简 版 给 我 发 下 
47,common/答非所问,1.3105977297927014,已经 很多 次 
48,bet/sportsbook/体育投注金额限制,1.2322970396929,怎么 会 有 最高 风险 18 元 这种 事 ， 太 恶心 了 ， 直接 把 盘 口 关 就 可以 了 
49,portal/app/乐天堂真人APP 安卓/苹果下载版,1.2176112025672445,我 只 玩 百家乐 ， 有没有 APP 就 只是 玩弄 百家乐 的 而已 ？ 
50,account/phone/无法收到乐天堂发出的手机验证码,1.3087505861461548,我 等 了 很 久 了 ， 還 沒 有 收到 手 機 驗 證 碼 
51,smalltalk/影视世界,1.212338127358122,范 冰 冰 去 哪儿 了 
52,sport/ im sport/IM体育,0.5403053051931174,盘 口 设置 ， IM 在 那 可以 找到 
53,payment/withdrawal/如何计算提款流水,1.235123950403415,提款 对流 水 有 要求 吗 ？ 
54,promotion/流水达到，但是红利无法领取？,1.2883961988912995,这个 活动 已经 达到 要求 了 
55,portal/ android/ live casino/真人- 至尊厅APP 安卓下载版,0.960816687335999,下载 至尊 厅 
56,payment/deposit/cashcard/乐天堂卡存款无法使用,1.1472833533764375,我 刚才 使用 了 乐天堂 卡 但 不知 道 是否 成功 了 
57,promotion/查询流水,1.3088676125684682,帮 我 查 下 这个 月 的 盈利 情况 
58,promotion/返水事宜,1.3181097379212288,洗 码 在 哪里 领取 呢 
59,payment/withdrawal/提款金额限制,1.2438665452564468,一天 能 提 几次 款 ？ 
60,portal/cs-contact/在线客服网页版无法使用,1.1501135017053439,哪里 可以 联系 你们 
61,account/password/重置密码 - APP版操作,1.009185801012539,精装 版 忘记密码 
62,bet/livedealer/真人注单结算问题,1.312182880226032,闲 2 最后 一张 明显 是 2 
63,payment/deposit/尝试了所有存款方式，都没办法成功存款?,1.176526517482547,根本无法 存款 ， 全 试 过 了 没用 
64,payment/withdrawal/屡次提款被拒,1.3410215764669262,出 不了 款 ， 几次 了 都 被 取消 或 失败 的 
65,portal/ cs service /乐天堂在线客服APP,0.6512600182763222,客 服 端 怎么 下载 啊 
66,promotion/38APP还没有收到？,1.1997685618872935,申请 的 新人 38 礼 包 还 没 到 
67,bet/注单事宜,0.9725501289570472,我 觉得 这 几 单 投注 有 问题 
68,promotion/ im sport/电竞优惠,0.7028116053847782,我 想 拿 电 竞 彩金 
69,smalltalk/personality/乐天堂小帮手能为你做什么,1.1810146041826088,投注 结果 是 什么 
70,smalltalk/私人问题,1.3365889987235449,约 炮 吗 
71,bet/slot/老虎机账户余额不对？,1.1557424616679193,MG 的 游戏 打 不成 一打 就是 错误 ， 还 把 钱 扣 了 
72,promotion/乐天堂APP彩金优惠,0.8354020718188692,下载 只有 有 彩金 吗 
73,portal/app/android/乐天堂APP安卓下载版/安装步骤,1.289359118187069,vivo/oppo 手机 可以 下载 客户端 吗 
74,portal/乐天堂备用网址,1.375848413535679,怎么 上网 站上 不到 
75,account/如何更换账户真实姓名？,1.2134277931641149,怎么 改名 字 啊 
76,account/双重账号,1.1302851072116151,我 可以 开 多 一个 乐天堂 账户 吗 ？ 这个 账户 我 一直 输钱 
77,account/email/如何验证邮箱？,1.2583376403537014,怎么 弄 邮箱验证 
78,payment/deposit/存款失败,1.2620484410298187,钱 都 存 不 进去 
79,payment/deposit/wechat/为什么我没有微信存款？,0.7928649214334377,刚 注册 ， 你们 这里 有没有 微信 存款 的 ？ 
80,portal/app/ios/乐天堂真人APP 苹果 - 易博厅下载版,0.9293651930455692,有没有 娱乐场 苹果 app 
81,portal/hijack/电脑版网页被劫持教程,0.5,
82,payment/withdrawal/提高单日提款上限,1.1902943584981607,提款 的 限制 可以 更改 ？ 
83,payment/deposit/查询最后一笔的存款申请记录,0.5,
84,payment/withdrawal/提款申请失败,1.186088535077583,提款 被 弹 下来 了 ， 什么 回事 
85,promotion/livedealer/真人再存优惠,1.1246654296400262,可否 介绍 一下 30% 存款 优惠 ？ 
86,common/提高限额,1.2306169499594322,怎么 调整 额度 啊 
87,payment/deposit/unionpay/无法进行银联支付支付存款,1.1426923346390556,银联支付 扫 码 支付 今天 总共 就 村 存 了 一次 ？ 就 超出 限制 了 ？ 
88,portal/app/fun88/乐天堂APP桌面下载版,1.2731390857402713,我 想要 下载 荧 幕 上 的 客户端 
89,portal/app/pt/乐天堂PT手机客户端,1.2946860890557648,有没有 ptapp 
90,account/phone/电话验证码过期,0.9933881024700002,可以 重新 发送 电话 验证 码 吗 ？ 
91,payment/deposit/localbank/本银/支付宝存款申请失败,1.1616591677874604,支付宝转账 失败 了 
92,account/email/没有收到乐天堂发出的邮件,1.3315664132238596,我 的 邮箱 号 无法 验证 
93,payment/没有到账,1.3470553022246645,怎么 没有 入 款 
94,payment/deposit/online-alipay/在线支付宝存款,1.3521824345645297,在线支付宝 
95,payment/deposit/在线支付宝/京东支付/在线支付/银联支付已经扣款了，但是还没有到账？,1.3302302015099277,刚 qq 充值 了 500 
96,promotion/slots/老虎机首存优惠,1.0250943987305767,可否 介绍 一下 老虎机 68% 的 优惠 呢 
97,portal/app/android/如何更新/重新下载APP安卓下载版,1.2472920472092999,下载 的 app 怎么 出现 错误 
98,portal/ android/清除谷歌浏览器缓存 -安卓设备,0.5,
99,promotion/没有存款优惠活动？,1.1835043130857723,请问 体育 首 存 满额 了 吗 
100,bet/livedealer/真人账户余额不对？,1.270610120539954,我 在 扎 金花 ， 我 牙 50 给 我 扣 100 
101,payment/deposit/存款,1.3628390944511222,今天 进账 的话 几时 才能 下注 ？ 
102,payment/withdrawal/提款多久才到账,1.1853533512281582,为什么 提款 这么 慢 
103,portal/app/android/乐天堂真人APP 安卓下载版,0.7263180791610353,可以 给 个 真人娱乐场 安 卓 版 的 app 链接 吗 
104,portal/cs-contact/如何联系在线客服,1.2539273451321657,你 是 机器人 吗 ？ 
105,bet/注单尚未结算,1.3884886201434126,赢 了 ， 奖金 呢 
106,payment/deposit/others/请问支持信用卡充值吗？,0.9701300478047628,如果 我 要 使用 信用卡 存款 ， 是 要 通过 什么 方式 使用 呢 
107,payment/withdrawal/无法提交提款申请,1.1307874842081431,请问 为什么 现在 提 不了 款 
108,portal/乐天堂专属会员网址,0.9437319934341312,我 的 安全 屋 
109,bet/结算但还未派彩,1.2316432281098229,我 要 投诉 ！ 成功 下注 没有 派彩 ！ ！ 这种 事情 不是 第一次 了 ！ ！ ！ 
110,promotion/rebate/真人返水,1.1502985179288483,真人 娱乐 存款 反水 怎么 个 比例 
111,bet/一般投注额限制,1.2501778813754278,下注 有 显示 限额 
112,payment/withdrawal/利用单号查询提款申请状态,0.7354996688296919,你好 ， 我 昨天 27 号 提款 1000 元 ， 可以 帮忙 查 一下 到 账 没 谢谢 
113,common/乐天堂常见问题,1.3483691528299684,只有 投注 
114,portal/app/ios/乐天堂游戏APP 苹果下载版,0.7935861317175038,哪里 找 苹果 app 
115,promotion/ live casino/真人优惠,0.8060712963935585,娱乐城 红利 优惠 
116,settlement/注单未结算,1.1826944800431018,"上半场 都 已经 赢 了 , 应该 要 结算 的 阿 , 耽误 我 下注 其他 赛事 了 "
117,account/我的推荐码是什么,0.9706381698188172,推荐 代码 在 那 查看 
118,account/phone/忘记手机号码？,0.9691869025627566,忘 了 我 注册 时 填写 的 手机号 ， 怎么办 ？ 
119,promotion/slots/老虎机优惠/返水,0.647850730112459,你好 我 最近 充值 了 pt 游戏 想 问 一下 有 什么 优惠 返 点 可以 申请 吗 
120,bet/sportsbook/独赢及位置 1/3 1-2 是什么意思？,0.9748620188835021,请教 一下 ， 勾 选 位置 这个 选项 后 的 奖金 怎么 算 ， 翻 倍 吗 ？ 
121,payment/deposit/取消存款申请,1.3027154917188002,我 充值 错 了 ， 充 了 200 . 1 
122,account/email/忘记注册邮箱？,1.1187292682932481,注册 邮箱 在 哪里 可以 看见 
123,affliate/代理相关事宜,0.7856461111177466,"我 是 代理 , 请问 佣金 怎么 算 "
124,bet/sportsbook/体育常问问题,0.5,
125,bet/sportsbook/体育/电竞注单结算问题,1.3236221485546211,我 这 单正 常 应该 是 全 对了 啊 
126,fundtransfer/账户有钱却显示余额不足？,1.3661784508175139,想 下注 
127,payment/withdrawal/为何提款不到账,1.3593043213366436,我 为什么 提 不 起 款 
128,account/password/重置密码 - 手机版操作,1.1354258935242607,手机 哪里 点 忘记密码 
129,promotion/可以申请成为VIP会员吗？,1.223984660575769,哪里 可以 看到 我 的 账号 等级 
130,bet/sportsbook/internal-intents/怎么在体育页面调整/搜寻赛事（电脑）,0.5,
131,promotion/要求免费彩金,1.3144772728092498,每月 亏损 有救 援 金 吗 
132,payment/deposit/提高单日存款上限,0.9500087688601996,可以 帮忙 提高 存款 金额 吗 
133,promotion/rebate/咨询返水金额,1.2477763560380548,帮 我 查 下 昨天 的 真人 流水 
134,account/password/重置密码邮件链接无法使用,0.5,
135,portal/ desktop/ cs service /在线客服桌面版客户端,0.5,
136,common/谢谢,1.3283335306184074,感激 
137,portal/如何清除火狐浏览器缓存,0.5579338617217828,火 狐 浏览器 上 怎么 删 缓存 啊 ？ 
138,payment/deposit/乐天堂存款方式,1.3470202527416872,储蓄 卡 怎么 存 
139,payment/deposit/online/在线存款,1.335427129992048,你们 有 在线 支付 吗 
140,payment/withdrawal/提款前注意事项,1.318122534023063,怎么 体现 
141,payment/withdrawal/提款,1.361592142748711,新 开户 注册 怎么 绑定 银行卡 
142,payment/withdrawal/提款问题,1.156825444041284,为什么 迟 申请 的 提款 到 账 了 ， 反而 先 申请 的 还 没 到 
143,promotion/38APP彩金,1.340921611314062,怎么 赠送 38 元 啊 ， 谢谢 
144,payment/deposit/wechat/微信转账存款,1.37887331147335,微信支付 可以 吗 ？ 
145,bet/怎么进行下注,1.338334157788279,足球 
146,portal/ android/ cs service /在线客服APP 安卓下载版,0.5,
147,portal/ android/ keno/快乐彩- LB优乐彩APP 安卓下载版,0.6504309425343766,LB 优乐彩 下载 
148,promotion/优惠事宜,1.3460129075116796,纯 款 有 赠送 吗 
149,bet/sportsbook/亚洲三项让分盘的规则,0.8892044481032948,亚洲 让 分 和 附加 让 分 有 什么 不同 
150,account/phone/如何更换电话号码？,1.1719108733091659,更换 手机 
151,payment/待处理中,1.176222365100379,我 这里 钱 早就 扣 走 支付 成功 了 ， 你们 迟迟 不 处理 是 什么 意思 ？ ？ 
152,portal/app/乐天堂APP无法登入或下载失败/卸载,1.3028835496895572,手机 客户端 反复 提示 更新 ， 无法 登录 
153,payment/deposit/localbank/本银/支付宝存款申请超过30分钟仍然还没有到账,1.2683062926708026,我 一直 点 支付宝转账 然后 交易 记录 一直 显示 是 在 待 处理 ？ 
154,payment/移除銀行资料,1.0475580781060907,银行卡 卡号 绑定 错误 
155,bet/sportsbook/系统串关,0.7822877542711663,为什么 同 个 赛事 无法 串 关 
156,promotion/推荐好友优惠,0.997483917058286,乐天堂 邀请 新人 有奖 励 吗 
157,bet/slot/无法登入老虎机游戏/免费旋转或有未完成游戏,1.3317116131956304,按 几下 就 弹 出 了 返回 大厅 
158,payment/deposit/哪一种的存款方式最快？,1.2395973959886508,有没有 快捷 支付 ？ 
159,account/password/无法更换密码,1.0346852492001932,怎么 我 根据 步骤 操作 了 还是 更改 不到 密码 
160,account/如何更改用户名？,0.9667062368848044,我 填 错 了 用户名 ， 能 改 吗 ？ 
161,payment/银行账户在哪里？,1.24317922342695,怎样 进入 提款 界面 呢 ？ 
162,portal/app/android/乐天堂游戏APP 安卓下载版,0.6343843409366421,有没有 安 卓 版 的 老虎机 客户端 
163,payment/withdrawal/提款申请状态,1.1713997728405483,提款 流水 是否 通过 审核 了 
164,account/email/无法收到乐天堂重置密码的邮件,0.7391340256005248,邮箱 里 怎 没 看到 有 重置 密码 的 邮件 
165,payment/如何更换提款银行资料？,1.252296115226386,提款 卡 是否 可以 删除 
166,fundtransfer/platform/手机版转账,0.5,
167,smalltalk/politics/政治未来,1.2259134149942423,今天 香港 是不是 殖民地 ？ 
168,portal/app/乐天堂PT APP 桌面/安卓下载版,1.252683556627258,有没有 ptapp 
169,smalltalk/personality/小帮手是什么,0.9362059746969215,你 是 人类 吗 
170,payment/withdrawal/提款一直显示处理中,1.3303230760049252,说 什么 协助 审核 出 款 是 什么 意思 啊 ？ 
171,promotion/再存优惠,1.2463769231017678,你好 我 想 问 一下 现在 玩 真人 游戏 有 什么 优惠 活动 吗 
172,bet/sportsbook/体育账户出现负数,1.2596042096452449,怎么 又 把 钱 扣 回去 了 ？ 
173,bet/sportsbook/梦幻对决的规则,0.8133660528138767,一会儿 足球 要 开场 的 梦幻 对决 是 什么 东西 
174,account/想要申请注销账号,1.3297982492534064,怎么 销 号 
175,payment/deposit/others/Astro卡存款,1.074596938959616,AstroPay 充值卡 存款 方式 是 怎么 使用 的 ? 
176,bet/livedealer/为什么无法登陆真人平台或者真人平台卡,1.3063980680812124,显示 个 什么 地区 网络 不 稳定 
177,portal/ android/ slots/游戏- MGS老虎机APP 安卓下载版,0.9152732150206944,老虎机 手机 版 可 支持 ？ 
178,payment/ whithdraw/怎么进行提款申请操作,0.9355612570192805,需要 怎么 操作 才 可以 提款 
179,payment/如何填写提款银行资料,1.144539946310622,提款 到 我 的 账户 要 怎么 做 ？ 
180,payment/ whithdraw time/提款多久到账？,1.251563336451957,出 款 要 多长 时间 啊 ？ 
181,portal/服务地区不在中国,1.1528031587644125,我 现在 在 国外 ， 但是 登 入 不到 乐天堂 
182,smalltalk/personality/小帮手是谁,1.119877108203135,你 男 的 还是 女 的 
183,payment/withdrawal/verification/提款验证链接无法使用,1.114730799775494,我 想 提款 ， 银行 资料 审核 点 不 开 
184,portal/ android/ slots/游戏- PT老虎机APP 安卓下载版,0.9119735066712027,老虎机 手机 版 可 支持 ？ 
185,account/password/重置密码 - 电脑版操作,0.5,
186,sport/ sb tech/乐天堂体育,0.9332506399138494,香港 盘 在 乐天堂 体育 怎么 设定 
187,portal/如何清除谷歌浏览器缓存,0.769368258879809,谷歌 要 在 哪里 删除 缓存 ？ 
188,promotion/ sport/体育优惠,1.0267658382294593,你们 体育 首 存 100％ 是 什么 
189,bet/sportsbook/Half Won什么意思,0.5,
190,portal/hijack/手机版网页被劫持教程,0.8870169621113285,我 安 卓 手机 ， 有没有 办法 教 我 防止 劫持 
191,promotion/sportsbook/体育再存优惠,1.0193537495969698,20% 是 存 多少 就 返还 多少 的 20% 吗 ？ 
192,payment/deposit/查询最后三笔的存款申请记录,0.7396369336272908,最近 3 笔 存款 交易 
193,others/如果完成设置白名单步骤并且还是无法在垃圾信箱收到乐天堂邮件,0.5,
194,web/ back up link/点击获取备用网址,0.7534932111102011,还有 其他 网址 吗 
195,bet/sportsbook/乐天堂体育平台常问的体育游戏规则,1.3221839680729908,总是 坑 我 0 . 5 
196,bet/sportsbook/体育/电竞注单尚未结算,1.2262582135387061,90 分钟 前 赛事 终止 的 注 单 怎么 计算 
197,bet/sportsbook/提前兑现,1.3492440819936458,为什么 有些 比赛 能 即时 交易 。 有 的 不能 ？ 
198,bet/查询投注记录,1.3548854557779022,我 有 不知 道 哪里 能 查询 游戏 局 号 ， 具体 时间 也 记不清 楚 了 ， 反正 就是 这 一次 登录 的 前 一次 
199,account/email/设置QQ邮箱白名单,1.3004143209472727,首次 提款 验证 的 邮件 都 没有 ， 教 下 怎样 反 垃圾 
200,portal/app/乐天堂游戏APP 安卓/苹果下载版,0.9117378602084977,老虎机 客户端 
201,portal/app/乐天堂的桌面/手机下载版,1.2161876349894527,有 软件 可以 下载 吗 ？ 
202,smalltalk/proposals/小帮手 私人联系方式,1.2652199466583423,跟 我 约会 
203,payment/deposit/存款限额,1.3579989513743502,银联支付 限制 额度 
204,web/ back up link/点击获取乐天堂电脑版网址,0.7653668647301797,给 我 个 网址 链接 
205,sport/ oneworks/ONEWORKS体育,0.8416860435228616,我 找 不到 ONEWORKD 的 盘 口 设置 
206,payment/withdrawal/提款申请成功，但是尚未收到款项,1.08827362508586,提款 成功 ， 但 为什么 该 金额 打 回 我 账户 了 
207,portal/乐天堂手机版网址,1.3125403737975712,客 服 你好 问 您 一下手 机 登陆 的 网站 是 什么 
208,portal/app/ios/乐天堂APP苹果下载版/安装步骤,1.2836572535155462,有 乐天堂 的 ios 客户端 吗 
209,promotion/怎么申请优惠,1.047982716217083,什么 是 首 存 / 再 存 阿 
210,promotion/注册彩金,1.3350183843765144,新 祖 册 
211,promotion/首存优惠,1.0817832409441288,第一次 存款 了 ， 红利 呢 
212,account/password/如何重置账号密码,0.969023638141939,您好 ， 我 需要 更新 我 的 密码 
213,payment/deposit/存款申请状态,1.3033129936527066,速度 帮 我 核实 一下 进款 
214,common/举报投诉,1.314119221474359,我 马上 上报 中央 
215,portal/app/ios/如何更新/重新下载APP苹果下载版,0.9819201323613442,苹果 app 下载 总是 无法 下载 完成 一直 在 转圈 
216,bet/sportsbook/体育/电竞注单结算但是尚未派彩,1.1124436817900776,结算 了 ， 金额 没有 变动 
217,bet/sportsbook/没有需要的赛事或者盘口？,1.3383848265794438,快速 市场 
218,account/email/如何更换邮件地址？,1.236552855758515,更换 邮件 
219,payment/deposit/cashcard/哪里可以购买乐天堂卡？,1.2849137108595614,乐天堂 卡什 么 时候 可以 用 ？ 
220,common/二维码,1.308340970942508,为什么 扫 不了 
221,common/限额,1.3147932294224605,为什么 有限 制 
222,promotion/rebate/返水不到账,1.2359665642903543,今天 洗 码 什么 时候 到 账 
223,portal/ ios/ cs service /在线客服APP 苹果下载版,0.5,
224,bet/sportsbook/亚洲让分盘的规则,1.3415451243044232,足球 滚球 需要 扣除 当时 比分 吗 
225,common/验证,0.8913045214375639,验证 了 啦 
226,bet/livedealer/真人游戏结算未派彩,1.3507198146995496,怎么 突然 洗牌 呀 ! 那 要 等到 什么 时候 ? 怎么 没有 提前 通知 ! 我 的 投注 要 等到 什么 啊 ? 
227,bet/sportsbook/体育账户余额不对？,1.2681539831787756,下注 赛事 后 好像 扣 多余 额 了 
228,bet/sportsbook/internal-intents/怎么在体育页面调整/搜寻赛事（APP）,0.5,
229,portal/无法登入,1.3089630711749614,你们 的 后台 是不是 在 维修 啊 ？ 进 不 去 呢 
230,payment/deposit/存款多久到账？,1.3755154823586242,转账 成功 请 速度 入账 
231,fundtransfer/platform/电脑版转账,0.5,
232,portal/app/pt/乐天堂PT老虎机桌面客户端,1.109917671844041,我 找 不到 电脑 版本 的 pt 客户端 
233,payment/deposit/unionpay/银联支付扫码存款,1.0966627282385242,银联支付 为什么 突然 不支 持 信用卡 付 了 
234,account/email/验证邮箱链接无法点击,0.6844491254579811,发来 的 验证 邮箱 链接 怎么 点 不 进去 
235,payment/deposit/localbank/没有本银/支付宝存款收款账户， 存入旧账户,1.3710656555512255,上午 工作人员 给 我 电话 ， 要 转账 银行 凭证 
236,bet/为什么在手机找不到我要的游戏种类？,1.1802876935204865,手机 版 MG 客户端 可以 玩 篮球 巨星 吧 ？ 
237,bet/slot/pt/PT老虎机游戏账户,1.212700777684141,APP 输入 用户名 密码 后 显示 无法 登陆 ？ 
238,common/无法登入乐天堂页面/体育页面/真人页面/游戏页面,1.3200978284660907,GD 加载 不到 
239,account/email/无法收到乐天堂邮箱验证的邮件,1.0402803485346799,邮箱验证 怎么 一直 没收 到 邮件 
240,payment/deposit/可否取消在线支付宝/京东支付/在线支付/银联支付处理中的存款申请？,1.242911636744981,存款 记录 可以 删除 吗 
241,payment/withdrawal/通过首次提款验证，但是提款尚未到账？,1.0919138330586309,我 刚刚 已经 通过 邮件 验证 了 ， 资金 什么 时候 能 到 
242,account/如何更改乐天堂账户讯息？,1.3269525008788459,如何 更改 会员 账号 信息 如 : 邮箱 ， 真实 姓名 ， 银行卡 ， 生日 日期 ， 手机号 
243,payment/withdrawal/verification/首次提款验证手动处理,1.02959708322603,已经 操作 了 ， 为什么 还是 没有 收到 提款 验证 收 件 ？ 
244,payment/deposit/wechat/微信转账了， 但是没有到账？,1.0453968816285986,微信 转账 能 不能 换 个 卡号 ， 邢 黎明 的 限额 了 
245,smalltalk/美味佳肴,1.2305582109751505,有没有 英文 菜单 ？ 
246,account/用户名或密码无效？超过尝试限制,1.240030465563785,我 登 入 过 多 受限 制 了 怎么 弄 
247,payment/deposit/在线支付宝/京东支付/在线支付/银联支付无法充值,1.3629784778798608,重置 商户 
248,account/乐天堂账户相关问题,0.9706429656783406,亲 亲 可不可以 帮 我 看看 我 的 身份证 号码 是 多少 
249,payment/deposit/online-alipay/无法使用在线支付宝存款,0.9774458221686647,9 点 半 用 支付宝 扫 码 支付 一次 显示 商家 异常 ， 你们 客 服 说 过 会 再 用 ， 刚 用 又 是 一样 ， 存款 不 不了 
250,bet/注单结算问题,1.3335786666538543,我 的 投注 是 赢 钱 了 ， 为什么 现在 是 输 的 呢 16: 
251,promotion/rebate/体育返水,1.1383425669799074,返水 里 的 仅 计算 有效 流水 是 什么 意思 
252,payment/deposit/为何存款尚未到账,1.364478686977273,速度 帮 我 核实 一下 进款 
253,smalltalk/个人状态,1.1547079760392733,最近 怎么样 
254,payment/deposit/jingdong/无法进行京东支付存款,1.0231922171765582,试 了 好多 次 ， 京东 存款 都 不成 功 ， 怎么 回事 
255,account/email/邮件链接无效,1.2621304294100484,什么 邮件 ， 现在 按 都 按 不 进 
256,payment/withdrawal/查询最后三笔的提款申请状态,0.5,
257,bet/账户余额不对？,1.2914071878901112,我 的 账户 又 出 问题 了 ， 我 应该 有 2570 ， 现在 只 剩 1400 了 ， 之前 是 在 炸 金花 玩 的 
258,portal/什么是清除缓存,1.3278499255669338,乐天堂 支持 什么 浏览器 ？ 
259,payment/withdrawal/取消提款申请,1.3523596178507715,帮忙 卡 下 出 款 
260,promotion/sportsbook/100% 首次体育投注返还,1.2712011921600543,您好 ， 第一次 注册 下单 ， 黑 了 是 要 退款 的 吧 ？ 
261,bet/slot/老虎机结算但是未派彩,1.2554258074961997,拉 彩 时候 彩金 不到 账 
262,payment/deposit/others/Astro卡无法使用,1.203982299574839,AstroPay 充值卡 被 拒绝 
263,account/password/忘记密码,1.3422751904312238,我 要 更 換 密 碼 
264,fundtransfer/无法进行转账,1.267011227670706,不能 转 帐 
265,portal/ android/ live casino/真人- 易博厅APP 安卓下载版,0.9749247538732357,下载 易 博 厅 
266,payment/网页哪里办理存提款？,1.0165564822724398,怎么 存款 ？ 
267,account/忘记用户名,1.1707220426625597,我 忘 了 我 的 账号 
268,account/无法注册,1.0936145421445602,刚刚 注销 了 ， 我 从 新 在 注册 不行 呢 
269,promotion/sportsbook/首存礼包,1.0521305155665768,你们 仅 限 注册 成为 会员 及 在 当月 进行 首 3 笔 累计 存款 金额 1888 或 以上 ， 即可 申请 获得 乐天堂 豪华 礼 包 ， 我 可不可以 申请 
270,bet/sportsbook/体育投注问题,1.1313047908582616,为什么 我 的 注 单被 取消 了 
271,account/无法登陆乐天堂账号,1.2118432871315563,你好 ， 怎么 登陆 不了 
272,payment/withdrawal/verification/提款验证链接被劫持,1.239560671124218,银行 资料 审核 通知 点 开 链接 错误 的 
