Brand,Lang,Intent Type,Category,Intent,Weight,Answer,Training Data,English,remark,Intend Status & Remark,CS Verify
fun88,cn,user,Common,谢谢,1,"请问目前还有什么其它事宜需要小帮手协助您的吗？
 
 如果【有】，请明确的输入您的问题/疑问；
 
 如果【没有】，请关闭聊天并为小帮手点点评哦~~ 小帮手会继续努力学习，以便将来可以有更好的服务给您哦！(｡◕∀◕｡)/","谢啦
 感激
 太感谢
 谢谢
 谢谢你
 好的，谢谢
 没了，麻烦了
 再见
 再见了
 没事了，再见
 感谢你的帮助
 感谢帮助
 好了，拜拜
 拜拜
 掰
 88
 好
 好哦
 好的哦
 好呀
 好的
 👌
 OK
 ok
 Ok
 嗯
 不用了
 哦",Thank you,直接回答,Done,ruby
fun88,cn,user,Common,限额,1,"请根据您的情况点击以下选项查询：
 
 <intentlink>存款限额</intentlink>
 
 <intentlink>体育投注金额限制</intentlink>","限额
 为什么限额了
 为什么有限制
 限制我了，不好玩
 达到限额是什么意思？
 限额了是什么意思
 我的帐号怎么限额了
 限额了
 怎么限额了
 被你们限额了
 干嘛限额我了 突然限额了是什么意思",Limits,直接回答,Done,ruby
Fun88,cn,User,Payment/ Deposit Limit,乐天堂网站存款金额限制,1,"本地银行/本地支付宝: 单笔最低 100 元起， 单笔最高：50,000元
 在线存款： 单笔最低是 100 元起， 单笔最高：50,000 元 （ 小提示：存款金额不是整数的哦！）
 银联支付： 单笔最低是 100 元起， 单笔最高： 5000 元 （小提示：每日存款50次）
 京东支付： 单笔最低是 100 元起， 单笔最高： 1000 元 （小提示：每日存款20次）
 Astro 充值卡： 单笔最低是 100 元起， 单笔最高： 5000 元 （小提示：同时支持美元与人民币充值卡）
 乐卡：单笔最低是 200 元起， 单笔最高： 100,000 元
 在线支付宝： 单笔最低是 100 元起， 单笔最高： 3000 元 （小提示：每日可存款10次）
 微信存款：单笔最低是 100 元起， 单笔最高： 3000 元","存款有限额吗？
 存多少有限制吗?
 最低存款多少钱
 我用支付宝存款有什么金额限制吗
 本地银行转账最低多少钱啊
 微信里只有100块钱能不能存
 一次最多能存多少钱啊
 一天的存款次数有没有限制啊
 每天能存多少次啊
 一天最多能存多少钱
 存款金额有上限吗？
 存款有要求吗？
 最高存款多少钱",Deposit Limits,直接回答,Done,ruby
fun88,cn,user,Common,验证,1,"请根据以下选项点选您的情况：
 
 <intentlink>通过首次提款验证，但是提款尚未到账？</intentlink>
 
 <intentlink>38APP彩金</intentlink>
 
 <intentlink>已经验证了， 但是还提示验证？</intentlink>","验证了
 都说验证了
 验证了啦
 我已经验证好了
 已经验证了
 我验证好了
 已经验证好了
 我的账户验证好了
 验证
 验证过了 验证完成了 我都验证过了",Verification,人工客服,Done,ruby
fun88,cn,user,Payment,如何填写提款银行资料,1,"【网页版】： 在乐天堂网站登录您的用户名，点击右上方的金钱标志【银行账户】进一步操作存提款申请。 
 
 【手机版】： 登录您的乐天堂用户名，点击手机右上角的【三圆点】，然后点击进入【银行账户 】做进一步的存提款申请。
 
 【APP】：登录您的乐天堂用户名，点击手机右上角的【三圆点】，然后点击进入【银行账户 】做进一步的存提款申请。
 
 填写步骤：
 (1)在【银行账户】-> 【提款便捷】里 ，输入【提款金额】， 点选绑定的银行资料
 (2)根据项目需求填写账户持有人名称（需和您的账号的真实姓名相同哦），银行名称，银行账号，银行所在的区/市/镇/分行,然后提交即可
 
 您可能有兴趣知道：<intentlink>更换提款银行资料</intentlink>","提款银行资料哪里填
 怎么填写银行资料
 哪里填提款银行资料
 提款怎么绑定银行卡
 提款时提示需要绑定银行卡，但是找不到在哪里填写
 银行资料去哪里填写呀
 要去哪里添加我的提款银行卡
 银行账户里的提款页面没有让我填写银行卡的地方啊
 我要怎么提款至我的银行账户？
 提款到我的账户要怎么做？
 想要提款，需要怎么绑定我的提款银行卡？
 我想要提款，但是我找不到填写我提款银行的地方啊！！
 我要绑定我的卡，需要怎么操作？？
 你好，找了好久没有找到在哪里添加我的提款卡，没办法提款啊
 你们网站的绑定提款卡的地方在哪里，找了半天没有找到。。。。。
 精装版APP怎样绑定银行卡",How to fill in Withdrawal Bank Information?,直接回答,Done,ruby
fun88,cn,user,Payment,如何更换提款银行资料？,1,"您要更换银行卡,您只需要点击提款功能后,直接点选提款的选项,填写您要提款的卡号,就可以顺利出款了噢(◕‿‿◕)
 
 
 您可能有兴趣：
 
 <intentlink>银行账户在哪里？</intentlink>","你好。更改提款银行卡，在哪里
 我刚才提款用了我新的银行卡。
 可以更换提款银行卡号嘛
 我要换提款银行卡怎么操作
 为什么要验证。我又不是第一次提款
 我更换了提款银行卡号
 取消提款银行资料
 换银行资料
 取消之前的银行资料
 想换提款银行，怎样？
 如何换银行号
 换银行
 更换提款银行资料
 提款资料取消
 提款的银行资料，想换个，给我取消之前的
 修改提款银行卡
 怎么更改提款银行卡呢？
 我怎么更改提款资料呢
 能更改提款银行吗？
 现在我要更改提款卡号怎么弄
 请问怎么更改提款账户
 我可以更换我的银行卡吗
 提款账户更换
 提款卡是否可以删除
 银行卡卡号绑定错误
 银行卡邦错了，怎么改
 我想更改银行卡
 怎么修改银行管理资料
 你好，我想更换提现卡号
 我想修改我的取款资料",How to update Withdrawal Bank Information?,直接回答,Done,ruby
fun88,cn,regex,Payment,存提款单号,1,"您是想查询存提款状态吗？请点击以下：
 
 <intentlink>利用单号查询提款申请状态</intentlink>
 
 <intentlink>利用单号查询存款申请状态</intentlink>
 
 如果不是的话，小帮手暂时无法辨识数字单号，您可以点击【转人工客服】提供给在线客服协助查询哦~",^([wW]20[12][0-9][0-9]{11}).*,Deposit/Withdrawal TXID,系统检查,Done,ruby
fun88,cn,user,Payment,待处理中,1,"待处理中的情况有以下几种，请根据您的情况点选：
 
 <intentlink>本银/支付宝存款申请超过30分钟仍然还没有到账</intentlink>
 
 <intentlink>在线支付宝/京东支付/在线支付/银联支付已经扣款了，但是还没有到账？</intentlink>
 
 <intentlink>提款一直显示处理中</intentlink>","为什么一直待处理中？
 待处理中要什么时候解决
 待处理好久了，怎么还不到账？
 你们财务是不是睡着了，这么久还不处理？？？？
 不是秒到吗，怎么还是一直待处理？
 我的款一直是待处理的状态，什么时候可以处理我的
 艹，都多久了，还是待处理，是不是不打算处理我的了？
 你们是不是打算黑了我的资金？？一直不处理是什么意思？
 赶紧处理啊！！都快半天了，还不处理我的？
 还要等多久？页面显示待处理，完全没有一丝动静啊
 我这里钱早就扣走支付成功了，你们迟迟不处理是什么意思？？
 帮我查一下是不是出什么问题了，怎么我的存款一直是待处理？
 30分钟过去还是待处理的状态，是不是钱少所以不处理啊？
 麻烦帮加急处理，都等了1小时了，还是没有处理
 一直待处理中，你们究竟是什么意思？？？？？？？
 存款待处理",Still Processing,直接回答,Done,ruby
fun88,cn,user,Payment,没有到账,1,"您可以点击以下对应的选项进行查询哦：
 
 <intentlink>为何存款尚未到账</intentlink>
 
 <intentlink>为何提款不到账</intentlink>","怎么还没到账
 怎么一个小时了还没到账
 您好还没到账
 还没有到账啊
 没有到账
 还没到账
 为什么还不能到账
 怎么还没到账了
 还没到账呢
 怎么还不能到账
 怎么我的还没到账
 这个到账了么？
 到账
 怎么没有入款
 帮我上账le嘛？
 钱怎么还不到账？
 退款还没到??
 亲爱的我钱没到账
 啥时候到账啊老板
 说到到帐延迟
 我昨晚的提现好像到现在都没到
 能帮我查一下什么时候能到账",Didn't Receive Funds,直接回答,Done,ruby
fun88,cn,user,Payment,移除銀行资料,1,"<form><field>真实姓名</field><field>用户账号</field><field>注册邮箱</field><field>生日日期</field><field>生日月份</field><field>生日年份</field><field>电话号码</field><field>安全提问</field><field>安全答案</field></form>
 <webhook>http://webhook.gohelp88.com/Member/RemoveBankInformation</webhook>","移除银行资料
 取消银行卡
 可以帮我取消现在的银行卡资料吗
 可以取消银行资料吗
 移除卡号
 取消银行讯息
 银行卡卡号绑定错误",Remove Withdrawal Bank Information,系统检查,System,
fun88,cn,user,Payment,银行账户在哪里？,1,"【网页版】：
 
 在乐天堂网站登录您的用户名，点击右上方的【银行账户】然后就可以作进一步操作存提款申请。 
 
 【手机版】：
 
 登录您的乐天堂用户名，点击手机右上角的【三圆点】，然后点击进入【银行账户】就会进入存款页面，若要进行提款， 您需要再次点开左上角的三条横线就会看见提款选项~
 
 【APP】：
 
 登录后，点击手机右上角的【三圆点】，案就会进入存款页面， 点击右下角的会员选项， 然后就可以在列表看见提款选项","请问浏览器的银行账户在哪里点开
 存款哪里点
 提款哪里点
 手机用户如何提现
 如何提款，我没找到银行账户按钮
 请问手机客户端如何提款
 怎样进入提款界面呢？
 哪里有提款项
 没看到哪里有银行账户
 手机页面找不到在哪里提款吗
 提款在哪里提啊
 提款是在哪里提啊？
 请问提现在哪里
 你好，提款界面在哪里，我找不到
 你好提现在哪里提
 充值和提款找不到在哪里啊
 提款在哪里
 银行账户在哪里
 取款功能在哪里？
 我怎么没找到提款在哪里
 请问在哪里查找提款界面
 哪里有银行账户
 去哪里找到银行账户这些地方
 在哪里选在线存款
 在哪里提交存提款
 我刚刚用闪付哪里存款
 想问下，如果要取款点哪里
 在哪里存款?
 网页哪里办理存提款
 哪里有得存款？
 你们的存款键在哪里？我找不到啊
 电脑的存款键在哪？
 手机存款键在哪？
 手机存款键在哪里？
 找不到存款键
 我要存款在哪里？
 APP存款在哪里？
 手机网页版存款键
 存款页面的选项在哪里，没找到
 提款要去哪按？
 网页哪里办理存提款？",Bank Center,直接回答,Done,ruby
fun88,cn,user,Payment/Withdrawal,提款,1,"<intentlink>网页哪里办理存提款？</intentlink>
 
 <intentlink>账户有钱却显示余额不足？</intentlink>
 
 <intentlink>提款首次验证</intentlink>
 
 <intentlink>如何计算提款流水</intentlink>
 
 <intentlink>提款多久到账？</intentlink>
 
 <intentlink>提款金额限制</intentlink>
 
 <intentlink>查询提款申请状态</intentlink>","第一次提款怎么弄
 第一次做提款大概多久会到呀
 你好我第一次提款
 第一次做提款
 首次提款要多久
 第一次取款审核多久一般
 新开户注册怎么绑定银行卡
 提款需要什么手续和注意事项？
 提款流程
 如何提款
 提款
 你好，我如何把余额提到我的银行账户里？
 不知道如何提款
 我想问下我存款之后如何提现？
 手机APP如何提现到银行卡上呢
 我想了解下如何提款
 请问如何提款
 我想问下钱如何取出来
 我现在要如何操作才能提款？
 您好这边是如何提现的
 我问下这个软件如何提款
 能否告知我如何提现
 我想提款第一次提款
 第一次提款怎么操作
 第一次提款
 第一次提款要多久
 怎样提款呢
 怎样提款到个人银行卡
 怎样提款到银行卡
 我想知道在乐天堂提款是怎样的程序？
 请问怎样提款
 请问一下，怎样才能提钱。
 手机端怎样来提款呢
 请问提现机制是怎样的
 第一次提需要怎样操作
 你好，我在请问下提现怎样提呢
 提款有什么规定
 怎么提款呀亲
 好吧，想要提款了
 提款限制
 不是，我要的是提款不是存款限制
 来个提款限制吧
 第一次提款要些什么？
 不行啊你，提款不是存款
 我和你说了，是提款呀，为什么一直给我存款
 我要提款，不是存款
 出钱，不是进钱
 出款，不是进款
 提款啊，不是存款
 提款啊，给我存款的干啥
 银行账户在哪我懂啊，现在是提款有问题
 什么无法登入？我是说提款的事情
 提款啊，不是登入有问题不好意思哟
 新人不知道怎么提现
 怎么提现",Withdrawal,直接回答,Done,ruby
fun88,cn,user,Payment/Withdrawal,为何提款不到账,1,"请您根据以下选项点选符合您的情况进行查询：
 
 <intentlink>提款一直显示处理中</intentlink>
 
 <intentlink>提款申请失败</intentlink>
 
 <intentlink>提款申请成功，但是尚未收到款项</intentlink>","提款到底几点到账
 你好。我的提款还没到账。
 帮我看看提款到了没
 提款还没到账
 提现一直不到账什么情况
 我的取款怎么还没到账
 提款怎么还没到账
 为什么我提现的钱还没到帐
 我有笔提款还未到账
 出款还没到账
 我的提款怎么来没到账
 提款迟迟不到
 提款还没有到账
 提款没到
 提款不到账
 我提的钱为什么还没有到啊
 你看看我的提款怎么还没有到账尼？
 我提款好久了没到账什么情况
 提款怎么还没有成功
 我的提款怎么还没处理成功啊
 我的提款成功没有啊
 我的提款到底什么时候能到
 怎么老是提款不成功呀
 提款的钱去哪了？
 提款怎么还不到账？
 提款没收到
 都多久了，提款怎还没收到
 提款提到那去了
 提款又有问题了吗？怎么这么久
 一整个早上了，提款都还没处理好吗？
 都多久了，提款的账怎么还没出？
 提款不是说30分钟吗？为啥还不到账？
 提款不是说只要30分钟吗？
 进钱这么快，出钱这么慢，要等多久啊？
 都一天了，怎么提款还卡着？
 提款要处理多久啊？都一整个早上了
 提款你们要卡多久啊？
 提款有延迟？
 你们平台怎么回事啊财务没钱要倒闭了吗
 我有一笔提款，怎么2个多小时了还没弄好啊
 怎么提款几个钟都没到帐的
 这提款为什么那么久还没到？？？
 我有一个取款都已经7个小时了
 妈的，怎么提现还没到？
 怎么提款这么久
 为什么取款还不到帐了？
 我为什么提不起款",Withdrawal did not receive,直接回答,Done,ruby
Fun88,cn,User,Payment,网页哪里办理存提款？,1,"【网页版】： 在乐天堂网站登录您的用户名，点击右上方的金钱标志【银行账户】进一步操作存提款申请。 
  
 【手机版】： 登录您的乐天堂用户名，点击手机右上角的【三圆点】，然后点击进入【银行账户 】做进一步的存提款申请。
  
 【APP】：登录您的乐天堂用户名，点击手机右上角的【三圆点】，然后点击进入【银行账户 】做进一步的存提款申请。","怎么存款？
 怎么操作存款啊
 怎么找不到在哪提款呢？
 怎么提款？
 存提款的按钮呢？
 我怎么找不到存提款的字样啊？",How to submit deposit/ Withdraw form,直接回答,Done,ruby
Fun88,cn,User,Payment/ Whithdraw time,提款多久到账？,1,"提款一般处理时间是一小时内,请您先不要着急噢(^^;),您可以先稍作休息,或是先观看网站的优惠活动噢！
 
  
 另外如果同时间出现多笔交易，也会导致出款出现延迟的哦，一般都会在24小时内完成。请耐心等候~
  
 同时提醒一下下~~~~由于一般银行都会在晚上23点-凌晨1点进行维护，小助手会建议您避开这段时间进行提款哦。如果您在这期间进行提款，必须要等到维护过后方能处理哦，谢谢您~~ᕦ( •̀∀•́)ᕤ

 您也可能想知道：
<intentlink>提款成功，但还没到账<intentlink>","提款怎么还不到账啊？
 提款多久到账啊？
 怎么提款还没到啊？
 提出来钱这么费劲吗？
 出款要多长时间啊？
 告诉我几分钟提款能到账
 一般提款需要多久
 怎么这么久提款还不到账啊
 提款快不快
 现在提款需要等多久才能到账呢",How long for withdrawal?,直接回答,Done,ruby
fun88,cn,user,Payment/Withdrawal,利用单号查询提款申请状态,1,"<require-signin>烦请您先登录网站，以方便小助手可以查询您的相关记录</require-signin>
 <form title=""请输入提款单号""><field>提款单号</field></form>
 <webhook>http://webhook.gohelp88.com/Withdrawal/WithdrawalCheckByID</webhook>","我要查询我的这笔提款
 你好，我昨天27号提款1000元，可以帮忙查一下到账没谢谢",Check withdrawal status by TXID,系统检查,System,
fun88,cn,user,Payment/Withdrawal,取消提款申请,1,"咦~如果您要取消提款继续游戏或是提款金额输入错误,您可以自行到提款页面点击【取消】按钮进行取消您的提款申请
 
 若是没有看见该按钮，代表您的提款已被受理了噢~(ﾟ▽ﾟ*)♪
 
 若您遇到任何提款无法取消的问题，可以联系【人工客服】咨询哦~","你好。帮我取消提款
 麻烦帮我提款取消下
 可以帮我取消提款申请吗
 可以帮我把提款取消吗
 帮我取消提款可以不
 可以把我的提现申请取消了
 取消提款可以操作吗
 能取消提款吗
 提款大概多久到？能否取消提款
 你好我刚才有一笔取款申请，我现在想撤销掉，暂时不取
 你好，想问下关于提款，我想取消
 提款想取消
 提款取消
 想取消提款，打错了银行号
 打错了银行号，要取消提款，快
 要取消提款，怎样？
 提款，可以先取消吗，还想多打一会
 帮我取消提款，可以吗？
 帮忙卡下出款
 怎么还不到账，帮忙取消提款，去转多几回
 我可以取消提款吗
 取款取消怎么不行的a",Cancel Withdrawal,人工客服,Done,ruby
fun88,cn,user,Payment/Withdrawal,如何计算提款流水,1,"是不是觉得流水都有足够,但是还是提款失败呢ﾉ)ﾟДﾟ(
 
 提醒您提款是需要完成存款的1倍投注流水， 流水是累计投注金额，通常在没有申请或得到红利的情况下，存款是需要完成一倍流水方能提款的。（如有申
 
 请优惠或者红利的情况下，请根据优惠或红利提款流水要求）
 
 这里给您举个例子，让您了解流水是怎么计算的：
 
 比方说您的存款是8000元，投注了4000元，赢利是4000元，账户余额变成12000元，再下注4000元，即可达到流水
 如果您最后投注了4000元是输的，那么账户还有8000元可以提款。
 
 如果您最后的投注4000元是盈利的，获得的盈利是4000元，那么就代表您到时候可以提款16000元。
 
 您可能也想了解：<intentlink>提款前注意事项</intentlink>.","你们提款流水怎么算？
 你好。取现有流水投注要求吗
 提款有没有流水限制
 一倍流水就可以提款是吗
 取款对流水有要求吗？
 那我要是打1倍流水的话可以提款么
 多少可以提呢？需要一倍流水吗？
 存款的一倍流水吗？
 一倍流水什么意思
 你好～请问每次存款都要一倍的流水才能提现吗？
 存款在提款不需要一倍流水吧
 比如我昨晚存了100，那完成一倍流水是什么意思？
 提款有什么流水条件吗
 不太明白一倍流水的意思，可否解释一下
 流水多少可以提现
 提款有没有流水要求
 提现有什么要求
 取款一倍流水吗
 你好我问一下，几倍流水提款
 为什么说我流水不足？
 我还有多少流水才可以提款
 我可以提款多少金额？",How to Calculate Withdrawal Turn Requirement,直接回答,Done,ruby
fun88,cn,user,Payment/Withdrawal,屡次提款被拒,1,您可以点击下方的人工客服，咨询我们的客服人员获得协助噢 ヾ(´▽｀;)ゝ,"两次提款都被弹回下来
 出不了款，几次了都被取消或失败的
 我的取款为啥一直拒绝
 提款的时候一直拒绝
 一直拒绝什么情况啊
 我要提款但是一直拒绝为什么
 怎么下午提一直拒绝呢
 这个提款一直拒绝是为什么？
 提款一直拒绝咋回事，第一次在这个网玩
 我提现怎么一直拒绝啊
 你好我有个提现申请一直拒绝
 8点前说银行维护一直拒绝我提款
 为什么今天提款一直拒绝啊
 在吗为什么我提款老是拒绝
 提款怎么老是拒绝
 为什么无法提款，两次提交，两次都拒绝了
 怎么提款两次都拒绝",Withdrawal repeatedly rejected,人工客服,Done,ruby
