Brand,Lang,Intent Type,Category,Intent,Weight,Answer,Training Data,English,Answer Key
Fun88,TH,User,Website,ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์,1,"เว็บไซต์ FUN88 มีเกมส์ที่หลากหลายภายใต้ 3 ผลิตภัณฑ์หลักๆ อย่างเกมส์กีฬา คาสิโน และหวย
 Fun88 เป็นบริษัทแห่งความบันเทิงและเกมส์การเดิมพันออนไลน์ที่ลงทะเบียนอย่างถูกต้องในปี2552 
 เราได้รับใบอนุญาตและอยู่ในอุตสาหกรรมเกมส์ออนไลน์มาแล้วกว่า 10 ปี 
Fun88 เปิดให้บริการลูกค้าตลอด 24 ชั่วโมง ไม่เว้นวันหยุดค่ะ"," เว็บเกี่ยวกับอะไร
 คือเว็บอะไร
 อยากรู้เกี่ยวกับเว็บไซต์
 ให้บริการอะไรบ้าง
 เว็บนี้ทำเกี่ยวกับอะไร
 เว็บนี้โกงไหม
 เว็บไซต์นี้ปลอดภัยแค่ไหน
 มั่นใจได้ไงว่าไม่โกง
 โกงรึเปล่าวะ",Website information,
Fun88,TH,User,Website,ไม่สามารถเข้าใช้งานเว็บไซต์ได้,1,"แนะนำวิธีการแก้ไขปัญหาเบื้องต้น คลิก
<intentlink>ลบคุ๊กกี้<intentlink>
<intentlink>เปลี่ยนเบราเซอร์<intentlink>","กรณีที่ไม่สามารถเข้าใช้งานเว็บไซต์ได้แก้ไขอย่างไรได้บ้าง
 เข้าไม่ได้
 เข้าหน้าเว็บไม่ได้
 ขึ้นหน้าจอสีฟ้าต้องทำไง
 เข้าไม่ได้ ดูให้หน่อย
 ต้องทำยังไงถึงจะเข้าได้
 เข้าไม่ได้หลายรอบแล้ว
 เข้าใช้งานหน้าหลักไม่ได้
 เว็บเป็นอะไร
 ทำไมเข้าไม่ได้",Unable to access website,
Fun88,TH,User,Website,ตรวจสอบข่าวประกาศ/การปิดปรับปรุงระบบ,1,"1 คุณสามารถตรวจสอบได้ที่หัวข้อ ""ประกาศ""
2 หรือเข้าหน้าเว็บไซต์เลือกที่หัวข้อ ""บัญชี"" จากนั้นเลือกคำว่า""การแจ้งเตือน"" จะแสดงข่าวสาร
 การปิดปรับปรุงระบบและการแจ้งเตือนต่างๆของคุณ"," ข่าวประกาศดูตรงไหน
 แจ้งไว้ที่ไหน
 แจ้งข่าวที่ไหน
 มีข่าวประกาศไหม
 เว็บปิดหรอ
 ปิดปรับปรุงตอนไหนบ้าง
 เปิดใช้งานได้หรือยัง",Announcement checking / Maintenance checking,
Fun88,TH,User,Website,โปรแกรมดาวน์โหลด,1,"Fun88 สามารถติดตั้งได้บนเวอร์ชั่นเดสก์ท็อป แอพพลิเคชั่นบนมือถือทั้งระบบ IOS, Android
 ให้คุณเลือกคำว่า ""เพิ่มเติม"" จากนั้นเลือกที่ ""ดาวน์โหลด"" คลิกเลือกที่เวอร์ชั่นที่ต้องการและเลือกโปรแกรมที่คุณต้องการและทำการดาวน์โหลดติดตั้ง","มีแอพในคอมไหม
 ติดตั้งเวอร์ชั่นคอมยังไง
 โหลดแอพผ่านคอมได้ป่าว
 โปรแกรมผ่านคอมมีไหม
 ติดตั้งลงคอมได้ไหม
 มีเวอร์ชั่นเดสก์ท็อปหรือเปล่า
 ดาวน์โหลดผ่านคอมได้ไหม
 โหลดลงคอมได้ไหม
 ดาวน์โหลดยังไงได้บ้าง
มีแอพไหม
 ติดตั้งแอพยังไง
 โหลดแอพได้ป่าว
 แอพมือถือ
 โหลดแอ๊บผ่านมือถือได้ไหม
 อยากดาวน์โหลด
 ดาวน์โหลดผ่านมือถือทำไง
 ติดตั้งลงบนมือถือได้ไหม
 แอพพลิเคชั่นบนมือถือติดตั้งอย่างไร",Download center,
Fun88,TH,User,Account,ข้อมููลบัญชี,1,"คุณต้องการสอบถามเกี่ยวกับเว็บไซต์ในเรื่องใด
 <intentlink>ยูสเซอร์เนมซ้ำ<intentlink>
 <intentlink>อัพเดทประวัติ<intentlink>
 <intentlink>เปลี่ยนชื่อยูสเซอร์เนม<intentlink>
 <intentlink>ลืมยูสเซอร์เนม<intentlink>
 <intentlink>โปรแกรมดาวน์โหลด<intentlink>
 <intentlink>ไม่สามารถเข้าใช้งานยูสเซอร์เนมได้<intentlink>
 <intentlink>เปลี่ยนชื่อนามสกุล<intentlink>
 <intentlink>ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง<intentlink>
 <intentlink>ปลดล็อคการตั้งค่าส่วนตัว<intentlink>
 <intentlink>การตั้งค่าส่วนตัว<intentlink>","บัญชี
ยูสเซอร์
ยูสเซอร์เนม
การตั้งค่า
ปลดล็อค
ล็อค
ตั้งค่า
ตั้งค่าส่วนตัว",Account,
Fun88,TH,User,Account,ยูสเซอร์เนมซ้ำ,1,"กฎระเบียบของทางเว็บไซต์ 1 ชื่อนามสกุล 1 อีเมล 1เบอร์โทร 1 ไอพีแอดเดรส สามารถสมัคใช้งานได้เพียง 1 ยูสเซอร์เนมเท่านั้น
 หากมีการสมัครมาซ้ำกัน จะติดปัญหาในส่วนของการถอนเงิน
ข้อมูลเพิ่มเติม คลิก  <intentlink>ขั้นตอนการสมัครสมาชิก<intentlink>","ยูสเชอร์ถูกระง้บ
ยูเซอโดนระงับ
ทำการเข้าระบบถูกต้องแล้วทำไหมเข้าไม่ได้คับ
ยูซเซอร์ถูกระงับทำไงดีคับ
รบกวนปิดยูสนี้คะแล้วเปิดยูสนี้คะ
ทำไมเข้าระบบไม่ได้ค่ะ
ยูสเซอรโดนระงับทำงัย
ทำไม่รหัสผมถึงโดนระงับคับ
ยุสผมโดนล๊อก
ยูเชอร์ผมโดนล็อก
เข้าระบบไม่ได้อ่ะครับ
ทำไมuser ถูกระงับใช้
ยุสเชอ.........ทำไมเข้าไม่ได้คับ
ยูเชอเเนมถูกระงับการใช้งานไงดีคับ
เปลี่ยนแล้วเข้าไม่ใด้
ถูกระงับได้งัย
มันเข้าไม่ได้อ่ะคับ
เข้าไม่ได้คับ
ทำไมเข้าไม่ได้ครับ
ทำไมถูกระงับ",Duplicate Accounts,
Fun88,TH,User,Account,อัพเดทประวัติ,1,"1. เข้าสู่ระบบ
2. เข้าที่หัวข้อ ""บัญชี"" ด้านขวามือเลือก ""อัพเดทประวัติ""
3. กรอกข้อมูลที่ต้องการเปลี่ยน และกด บันทึก
ข้อมูลเพิ่มเติม คลิก  <intentlink>เปลี่ยนชื่อยูสเซอร์เนม<intentlink>
<intentlink>ลบบัญชี<intentlink>
<intentlink>เปลี่ยนชื่อนามสกุล<intentlink>
<intentlink>การตั้งค่าส่วนตัว<intentlink>
<intentlink>ปลดล็อคการตั้งค่าส่วนตัว<intentlink>
<intentlink>อัพเดทอีเมล<intentlink>
<intentlink>ยืนยันเบอร์โทรศัพท์<intentlink>","เพิ่มข้อมูลส่วนตัวตรงไหน
เพิ่มประวัติส่วนตัวที่ไหนได้
อัพเดทเบอร์โทรยังไง
แก้ไขข้อมูลยังไง
อัพเดทประวัติอยู่ตรงไหนอ่ะ
เปลี่ยนเบอร์ทำไง
เพิ่มที่อยู่ให้หน่อย
แก้ไขที่อยู่ให้ทีคับ
ใส่ข้อมูลส่วนตัวผิด แก้ยังไง
ต้องการแก้ไขข้อมูลตอนลงทะเบียนคับ",How to update account info?,
Fun88,TH,User,Account,เปลี่ยนชื่อยูสเซอร์เนม,1,ชื่อยูสเซอร์เนมไม่สามารถเปลี่ยนแปลงได้หลังจากที่สมัครเรียบร้อยแล้ว,"ทำไมชื่อยูสเปลี่ยนไม่ได้
แก้ไขชื่อยูสเซอร์เนมได้ไหม
เปลี่ยนชื่อตอนลงทะเบียนทำไง
เปลี่ยนชื่อได้ไหมคับ
สมัครแล้วคับ แต่อยากเปลี่ยนชื่อยูสได้ไหม
แก้ไขชื่อที่สมัครได้ไหม
ต้องใช้ชื่อนี้ไปตลอดหรอ
อยากเปลี่ยนชื่อยูสอ่ะ
เปลี่ยนชื่อยูสให้ที
ชื่อ แก้ไขไม่ได้หรอ
ขอเปลี่ยนชื่อยูส
ยูสเซอเนมคืออะไร
ยูสเซอร์เนมเปลี่ยนได้ไหม",How to change username?,
Fun88,TH,User,Account,ลืมยูสเซอร์เนม,1,"คลิกคำว่า ""ลืมรหัสผ่าน"" ด้านขวามือบนของหน้าเว็บไซต์ จากนั้นเลือกที่คำว่า ""ลืมยูสเซอร์เนม"" กรอกอีเมลของคุณจากนั้นชื่อยูสเซอร์เนมจะส่งไปที่อีเมลของคุณค่ะ
ข้อมูลเพิ่มเติม คลิก <intentlink>ลืมอีเมล<intentlink>
<intentlink>อัพเดทอีเมล<intentlink>","ผมลืมยุยเซอเนม
ผมลืมยูเซอร์กับรกัสตับ
พอดีสมัครแล้วลืมรหัสครับ
สมัครไปแล้วแต่ลืมยุสกับรหัสผ่านอ่ะค่ะ
ครับลืมรหัสผ่านกับยุสเสอ์เนมครับ
ผมลืมยูซเซอร์เนมครับ
ลืมยูสเซอร์เข้าเล่นอ่ะคับ
ผมจำuserไม่ได้ต้องทำไง
ลืมยูสเซ่อ
Userผมโดนระงับ
สอบถามลืมยูเชอครับทำไง
ลืมยูสกับพาสเวิส ทำไง
ชื่ิอถูกระงับต้องการเปิดใช่ใหม่
ลอกอินไม่ได้คับ
ถูกระงับการเข้าสู่ระบบต้องทำอย่างไร
ขอยุสเซอหน่อยคับ
ไอดี เข้าไม่ได้
พี่ผมลืมไอดีกับยุสเซอร์
สมัคร​แต่จำไม่ได้ใช่เมล์​กับยูไรค่ะ
ผมอยากสมัครบัญชีใหม่อะคับ จำบัญชี​เก่าไม่ได้",Forgot username,
Fun88,TH,User,Account,บัญชีถูกปิด,1,"เนื่องจากยูสเซอร์ของคุณ ไม่มีการเข้าใช้งานเป็นเวลานานทำให้ยูสเซอร์เนมของคุณไม่สามารถใช้งานได้อีกต่อไป
 กรุณาสมัครยูสเซอร์เนมใหม่อีกครั้งเพื่อเข้าใช้งานกับทางเว็บไซต์ Fun88 <intentlink>ขั้นตอนการสมัครสมาชิก<intentlink>","ทำไมเข้าสู่ระบบไม่ได้
ยุสเซอร์ถูกระงับ
เข้าระบบไม่ได้
ทำไมยูสเซอพี่โดนระงับ
ทำไมบันชีถูกระงับอะครับ
ยูเซอโดนระงับ เพราะอะไรค่ะ
Mana29เข้าเล่นไม้ได้คับ
ไอดีโดนระงับ
สมัครไว้แล้วเข้าไม่ได้
ผมจะเลิกเล่นตั้งแต่วันนี้ไป รบกวนลบยูส
ยูสเซอร์เนมโดนระงับ ทำอย่างไรได้บ้างครับ
ต้องการปิดบัญชีครับ
พี่ครับยูสเชอร์ผมโดนบ็อคครับ
ยูสเชอโดนลงับ
ทำไมเข้าเกมไม่ได้
รบกวนปิดยอดบัญชีให้หน่อยได้ไหมคะ
ปิดบัญชีนี้ได้ป่ะครับ
รบกวน ลบยูชเซอที่ไม่ใช้งานได้ไหมคับ
user โดนระงับ
ทำไมไอดีผมถูกระงับใช้งานหรอครับ",Deactivate Account,
Fun88,TH,User,Account,ลบบัญชี,1,ในส่วนนี้ไม่สามารถดำเนินการได้ แต่คุณสามารถตั้งค่า หรือ จำกัดการเข้าใช้งานของยูสเซอร์เนมให้ไม่สามารถใช้งานได้ถาวรด้วยตนเอง คลิก <intentlink>การตั้งค่าส่วนตัว<intentlink>,"เลิกเล่น ทำยังไง
ปิดถาวรตรงไหน
ปิดการใช้งานให้หน่อยคับ
ต้องการปิดการใช้งาน
อยากเลิกเล่นแล้ว
ไม่อยากเล่นแล้ว
จะไม่เล่นอีกแล้ว
ลบบัญชีผมเลยก็ได้คับ
ปิดยูสไปเลย
ตั้งค่าปิดยูสตรงไหน
จำกัดการเข้าใช้งานผมทีคับ
บล็อก ไปเลยคับ
ปลด ผมออกจากเว็บเลย
เอาผมออก สักอาทิตย์ได้ไหมคับ
ไม่เล่นสัก เดือนนึงได้ไหมคับ
ปิดผม 7 วัน
ให้ผมหยุดเข้าใช้งาน 7 วันนะคับ
จะหยุดเล่นแบบถาวรคับ",Delete Account,
Fun88,TH,User,Account,ไม่สามารถเข้าใช้งานยูสเซอร์เนมได้,1,"หากคุณลืมยูสเซอร์เนม หรือ ลืมรหัสผ่าน คลิก
<intentlink>ลืมรหัสผ่าน<intentlink>
<intentlink>ลืมยูสเซอร์เนม<intentlink>","ตั้งค่ารหัสผ่านใหม่ยังไง
เข้าไม่ได้ ระบบแจ้งเตือน
มันเตือนว่าเข้าเกินจำนวนครั้ง
มันล็อก เข้าไม่ได้
ลืมรหัสทำไง
ขอรหัสผ่านใหม่หน่อย
รหัสผ่านล็อก ขอใหม่
เปลี่ยนรหัสผ่านตรงไหน
ลืมยูสเซอร์เนม
ยูสโดนล็อค อ่ะ
ลืมรหัดผ่าน",Cannot login to account,
Fun88,TH,User,Account,เปลี่ยนชื่อนามสกุล,1,"หากคุณสมัครยูสเซอร์เนมมาในชื่อนามสกุลที่ไม่ถูกต้อง คุณจะไม่สามารถทำการแก้ไขชื่อนามสกุลและทำรายการถอนเงินได้ 
 คุณจะต้องทำการส่งเอกสารเพื่อยืนยันชื่อนามสกุลที่ถูกต้องของคุณ ข้อมูลเพิ่มเติมคลิก
<intentlink>เอกสารยืนยันตัวตน<intentlink>
<intentlink>เอกสารยืนยันชื่อนามสกุล<intentlink>
<intentlink>เอกสารยืนยันชื่อ<intentlink>","ชื่อผิดค่ะ ทำไง
ต้องการแก้ไขชื่อ
นามสกุลผิด แก้ยังไง 
พิมพ์ชื่อผิดตัวหนึ่งแก้ไขยังไง
ตอนสมัครกดผิด
ใส่ชื่อคนอื่นไป แก้ไขยังไง
ตอนสมัครใส่ชื่อแฟนค่ะ
ขอแก้เป็นชื่อตัวเองได้ไหม
จะถอนเงิน ต้องเปลี่ยนเป็นขื่อใคร
ชื่อหนูผิดค่ะ
กรอกชื่อผิดตอนสมัคร
สมัครผิดชื่อค่ะ",Update real name,
Fun88,TH,User,Account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,1,"ล็อคอินเข้ายูสเซอร์เนมไม่ได้ คลิก
<intentlink>ไม่สามารถเข้าใช้งานยูสเซอร์เนมได้<intentlink>","เข้าระบบไม่ได้
เข้าระบบแล้วขึ้นไม่ถูกต้อง
เข้าเว็ปยังไง เข้าไม่ได้
ใส่รหัสไม่ถูกทำไง
ทำไง บอกรหัสไม่ถูกต้อง
เข้าแล้ว รหัสไม่ถูก
ลืมรหัสเข้ายุสคับ
ผมเข้าระบบ ไม่ได้
ใส่รหัสยุสเซอผิดเกินจำนวนครั้งคับ
ทำไมผมเข้าระบบ ไม่ได้
ผมลอกอินผิดหลายครัง
เข้าเกมไม่ได้ใส่รหัสเกินอาะค่ะ
ม่สามารถเข้าสู่ระบบบได้เลยค่ะตอนนี้ค่ะรบกวนช่วยตรวจสอบให้ทีนะค
กรอกรหัสผิด ทำไงดี
อันนี้ผมเข้าระบบเกินจำนวนครั้ง
เข้ารหัสไม่ได้
คุนเข้าบันชีมากเกินไป
ทำไมไอดีนี้เข้าไม่ได้
กดรัหสผิดเข้าระบบไม่ได้
ใช้รหัสเดิมแต่เจ้าไม่ได้
กดรหัสผิดหลายครั้ง
เข้ารหัสผ่านไม่ได้คับ","Username or password invalid, exceeded wrong password limit",
Fun88,TH,User,Account,ปลดล็อคการตั้งค่าส่วนตัว,1,การตั้งค่าส่วนตัว จะปลดล็อคอัตโนมัติเมื่อครบกำหนดตามวันที่และเวลาที่ได้ทำการตั้งค่าไว้ ,"ยกเลิกการตั้งค่าว่วนตัวค่ะ
ต้องการยกเลิกระงับการใช้งานชั่วคราว
ขอปลดล๊อคเกมได้ไหมคะ
ขอเปิดใช้บัญชีปกติคับ
เคย ระงับยูสถาวร..สามารถเปิดใช้ยูสเดิมได้ไม๊
ยกเลิกบัญชี่ครับ
ตั้งปืดการเดิมพันถาวอนไว้
ยกเลิกควบคุมกานเดิมพัน
ปิดตั้งค่าการเดิมพัน
ผมสามารถควบคุมการเดิมพันของผมได้ไหมคับ
เปลี่ยนเงินเดิมพันสูงสุดในการจำกัดวงเงินเดิมพัน
ถ้าจะยกเลิกปิดถาวรต้องทำยังไงครับ
ได้เข้าไปปิดใช้งาน90วันแล้วถ้าอยากเปิดใช้งานตอนนี้ทำไงคะ
ขอปลดล๊ออคค่ะ
แก้ไขความเป็นส่วนตัวในการโอนเงินให้หน่อยครับ
เปิดใช้บันชีนี้คับ
รบกวนยกเลิกการระงับบัญชีแบบถาวรครับ
แจ้งยกเลิกการระงับยูสเซอค่ะ
บันชีล๊อครบกวนปลดลอคทีคะ
ยกเลิกการระงับวงเงินครับ
",Remove self-exclusion,
Fun88,TH,User,Account,การตั้งค่าส่วนตัว,1,"คุณสามารถตั้งค่าการระงับการใช้งานได้ตามขั้นตอนดังต่อไปนี้ 
 1. ล็อคอินเข้าสู่ระบบ 
 2. เข้าที่หัวข้อ ""บัญชี"" หลังจากนั้นเลือก ""ตั้วค่าส่วนตัว"" 
 3. กดเปิดใช้งานฟังก์ชั่น จะมีให้เลือกการระงับการใช้งานแบบ 7 วัน 90 วัน หรือ แบบถาวร และยังมีการตั้งค่าจำกัดการโอนเงินภายใน 7 วัน อีกหนึ่งช่องทาง 
 4. กดบันทึก เพื่อยืนยันการทำรายการ
ต้องการปลดล็อคการตั้งค่า คลิก <intentlink>ปลดล็อคการตั้งค่าส่วนตัว<intentlink>","ปิดการใช้งาน
ต้องการระงับการเข้าใช้งาน
ขอปิดการเข้าใช้งานไปเลยคับ
ยกเลิก ไม่เข้าใช้งานแล้ว
ตั้งค่าจำกัดการเข้าใช้งานตรงไหน
จะไม่เข้ามาเล่นสักอาทิตย์
หยุดเล่นถาวรเลยคับ
เลิกเล่น ทำไง
ไม่อยากเล่นแล้วปิดเลย
บล็อกผมไปเลยก็ได้",Set up self-exclusion,
Fun88,TH,User,Account/Email,บัญชี - อีเมล,1,"คุณต้องการทำรายการใดเกี่ยวกับอีเมล
<intentlink>อัพเดทอีเมล<intentlink>
<intentlink>ยืนยันอีเมล<intentlink>
<intentlink>ลืมอีเมล<intentlink>
<intentlink>ไม่ได้รับอีเมลการยืนยัน<intentlink>
<intentlink>ไม่ได้รับอีเมลตั้งค่ารหัสผ่านใหม่<intentlink>
<intentlink>ลิ้งที่ได้รับจากอีเมล์ไม่สามารถใช้งานได้<intentlink>
<intentlink>ลิ้งที่ได้รับจากอีเมลไม่สามารถเปิดได้<intentlink>","อีเมล
อีเมล์
อีเมลล์
เมล์
เมล
เช็คเมล์
เช็คเมล
ดูเมล์
ดูเมล
อ่านเมล์
อ่านเมล",Account - Email,
Fun88,TH,User,Account/Email,อัพเดทอีเมล,1,คุณไม่สามารถเปลี่ยนแปลงอีเมลได้ด้วยตนเอง กรุณาติดต่อเจ้าหน้าที่เพื่อสอบถามข้อมูลเพิ่มเติม,"ขอเปลี่ยนอิเมล
ยกเลิกเมลเก่าใช้เมลใหม่
เมลผิดอะแก้ไขให้หน่อย
แก้ไขเมลตรงไหน
เปลี่ยนเมลได้มั้ย",How to update email address?,
Fun88,TH,User,Account/Email,ยืนยันอีเมล,1,"คุณสามารถยืนยันอีเมลได้ตามขั้นตอนดังต่อไปนี้
 1. ล็อคอินเข้าสู่ระบบ
 2. เข้าที่หัวข้อ ""บัญชี"" หลังจากนั้นเลือก ""ยืนยันบัญชี"" 
 3. คลิก ""ตรวจสอบ"" (อักษรสีแดง) หลังจากนั้นระบบจะทำการส่งเมลล์ไปยังอีเมลของคุณ
 4. เข้าตรวจสอบอีเมลของคุณ หลังจากนั้นกดยืนยันจากอีเมลที่ได้รับ
 5. ในระบบจะเปลี่ยนเป็นคำว่า ""ตรวจสอบแล้ว"" (อักษรสีเขียว) คือการยืนยันอีเมลเสร็จสมบูรณ์","ยืนยันบัญชีไม่ได้
ยืนยันSMSไมรได้ทำไฃ
ขอยื่นยัน เมลล์และเบอร์โทร
ไม่แน่ใจ อีเมล ถูกบล๊อครึเปล่า
ยืนยันตัวตนไม่ได้คับ
ยืนย้นบันชีไม่ได้คราบ
ยืนคับ
ผมเข้าเมลไม่ได้ มันให้ยืนยันตัวตนทาง smsก่อน
ยืนยันล้มเหลวคับ
ยืนยันบัญชีemail
",How to verify email?,
